Time|s,xin,reset|bool,TL,BL,dT|s,ic,yout
0,0.611764453886017,0,10,-10,0,0,1e-10
0.1,0.611764453886017,0,10,-10,0.1,0,0.0611764454886017
0.2,0.611764453886017,0,10,-10,0.1,0,0.122352890877203
0.3,0.611764453886017,0,10,-10,0.1,0,0.183529336265805
0.4,0.611764453886017,0,10,-10,0.1,0,0.244705781654407
0.5,0.611764453886017,0,10,-10,0.1,0,0.305882227043009
0.6,0.611764453886017,0,10,-10,0.1,0,0.36705867243161
0.7,0.611764453886017,0,10,-10,0.1,0,0.428235117820212
0.8,0.611764453886017,0,10,-10,0.1,0,0.489411563208814
0.9,0.611764453886017,0,10,-10,0.1,0,0.550588008597416
1,0.611764453886017,0,10,-10,0.1,0,0.611764453986017
1.1,0.611764453886017,0,10,-10,0.1,0,0.672940899374619
1.2,0.611764453886017,0,10,-10,0.1,0,0.734117344763221
1.3,0.611764453886017,0,10,-10,0.0999999999999999,0,0.795293790151823
1.4,0.611764453886017,0,10,-10,0.1,0,0.856470235540424
1.5,0.611764453886017,0,10,-10,0.0999999999999999,0,0.917646680929026
1.6,0.611764453886017,0,10,-10,0.1,0,0.978823126317628
1.7,0.611764453886017,0,10,-10,0.1,0,1.03999957170623
1.8,0.611764453886017,0,10,-10,0.0999999999999999,0,1.10117601709483
1.9,0.611764453886017,0,10,-10,0.1,0,1.16235246248343
2,0.611764453886017,0,10,-10,0.0999999999999999,0,1.22352890787204
2.1,0.611764453886017,0,10,-10,0.1,0,1.28470535326064
2.2,0.611764453886017,0,10,-10,0.1,0,1.34588179864924
2.3,0.611764453886017,0,10,-10,0.1,0,1.40705824403784
2.4,0.611764453886017,0,10,-10,0.1,0,1.46823468942644
2.5,0.611764453886017,0,10,-10,0.0999999999999996,0,1.52941113481504
2.6,0.611764453886017,0,10,-10,0.1,0,1.59058758020365
2.7,0.611764453886017,0,10,-10,0.1,0,1.65176402559225
2.8,0.611764453886017,0,10,-10,0.1,0,1.71294047098085
2.9,0.611764453886017,0,10,-10,0.1,0,1.77411691636945
3,0.611764453886017,0,10,-10,0.0999999999999996,0,1.83529336175805
3.1,0.611764453886017,0,10,-10,0.1,0,1.89646980714666
3.2,0.611764453886017,0,10,-10,0.1,0,1.95764625253526
3.3,0.611764453886017,0,10,-10,0.1,0,2.01882269792386
3.4,0.611764453886017,0,10,-10,0.1,0,2.07999914331246
3.5,0.611764453886017,0,10,-10,0.0999999999999996,0,2.14117558870106
3.6,0.611764453886017,0,10,-10,0.1,0,2.20235203408966
3.7,0.611764453886017,0,10,-10,0.1,0,2.26352847947827
3.8,0.611764453886017,0,10,-10,0.1,0,2.32470492486687
3.9,0.611764453886017,0,10,-10,0.1,0,2.38588137025547
4,0.611764453886017,0,10,-10,0.0999999999999996,0,2.44705781564407
