Time,xin,reset,TL,BL,dT,ic,yout
0,0.342632414528962,0,10,-10,0,0,1e-10
0.1,0.342632414528962,0,10,-10,0.1,0,0.0342632415528962
0.2,0.342632414528962,0,10,-10,0.1,0,0.0685264830057925
0.3,0.342632414528962,0,10,-10,0.1,0,0.102789724458689
0.4,0.342632414528962,0,10,-10,0.1,0,0.137052965911585
0.5,0.342632414528962,0,10,-10,0.1,0,0.171316207364481
0.6,0.342632414528962,0,10,-10,0.1,0,0.205579448817377
0.7,0.342632414528962,0,10,-10,0.1,0,0.239842690270274
0.8,0.342632414528962,0,10,-10,0.1,0,0.27410593172317
0.9,0.342632414528962,0,10,-10,0.1,0,0.308369173176066
1,0.342632414528962,0,10,-10,0.1,0,0.342632414628962
1.1,0.342632414528962,0,10,-10,0.1,0,0.376895656081859
1.2,0.342632414528962,0,10,-10,0.1,0,0.411158897534755
1.3,0.342632414528962,0,10,-10,0.0999999999999999,0,0.445422138987651
1.4,0.342632414528962,0,10,-10,0.1,0,0.479685380440547
1.5,0.342632414528962,0,10,-10,0.0999999999999999,0,0.513948621893443
1.6,0.342632414528962,0,10,-10,0.1,0,0.54821186334634
1.7,0.342632414528962,0,10,-10,0.1,0,0.582475104799236
1.8,0.342632414528962,0,10,-10,0.0999999999999999,0,0.616738346252132
1.9,0.342632414528962,0,10,-10,0.1,0,0.651001587705028
2,0.342632414528962,0,10,-10,0.0999999999999999,0,0.685264829157925
2.1,0.342632414528962,0,10,-10,0.1,0,0.719528070610821
2.2,0.342632414528962,0,10,-10,0.1,0,0.753791312063717
2.3,0.342632414528962,0,10,-10,0.1,0,0.788054553516613
2.4,0.342632414528962,0,10,-10,0.1,0,0.82231779496951
2.5,0.342632414528962,0,10,-10,0.0999999999999996,0,0.856581036422406
2.6,0.342632414528962,0,10,-10,0.1,0,0.890844277875302
2.7,0.342632414528962,0,10,-10,0.1,0,0.925107519328198
2.8,0.342632414528962,0,10,-10,0.1,0,0.959370760781095
2.9,0.342632414528962,0,10,-10,0.1,0,0.993634002233991
3,0.342632414528962,0,10,-10,0.0999999999999996,0,1.02789724368689
3.1,0.342632414528962,0,10,-10,0.1,0,1.06216048513978
3.2,0.342632414528962,0,10,-10,0.1,0,1.09642372659268
3.3,0.342632414528962,0,10,-10,0.1,0,1.13068696804558
3.4,0.342632414528962,0,10,-10,0.1,0,1.16495020949847
3.5,0.342632414528962,0,10,-10,0.0999999999999996,0,1.19921345095137
3.6,0.342632414528962,0,10,-10,0.1,0,1.23347669240426
