label,aggregation,model,weight,config,tautologyZ3,repairs_number,average,median,min,max,stddev
V1,no_aggregation,AFC,"[1.0, 1.0, 1.0]",default,1,24,0.479544690860215,0.451612903225806,0.0625,0.935483870967742,0.302259407089676
V1,no_aggregation,AT,"[1.0, 1.0, 1.0]",default,1,30,0.224382716049383,0.0906084656084656,0.037037037037037,0.851851851851852,0.271617978629951
V1,no_aggregation,CC,"[1.0, 1.0, 1.0]",default,1,38,0.344413807761826,0.230859146697838,0.0212765957446809,0.957446808510638,0.30582766244096
V1,no_aggregation,EU,"[1.0, 1.0, 1.0]",default,1,17,0.300427738663033,0.142857142857143,0.0285714285714286,0.942857142857143,0.299145199139261
V1,no_aggregation,NNP,"[1.0, 1.0, 1.0]",default,1,49,0.322934583080989,0.148148148148148,0.037037037037037,0.888888888888889,0.312778728513919
V1,no_aggregation,TUI,"[1.0, 1.0, 1.0]",default,1,31,0.234755962163344,0.130434782608696,0.0285714285714286,0.869565217391304,0.244204481008025
V1,no_aggregation,All,"[1.0, 1.0, 1.0]",default,1,189,0.315009416467618,0.15625,0.0212765957446809,0.957446808510638,0.298520418768001
V2,no_aggregation,AFC,"[1.0, 1.0, 1.0]",default,0,35,0.314088725478598,0.225806451612903,0.032258064516129,0.870967741935484,0.262866831404507
V2,no_aggregation,AT,"[1.0, 1.0, 1.0]",default,0,33,0.195712131288698,0.107142857142857,0.037037037037037,0.814814814814815,0.215271309574931
V2,no_aggregation,CC,"[1.0, 1.0, 1.0]",default,0,48,0.355102518197261,0.155172413793103,0.0212765957446809,0.914893617021277,0.325559132992777
V2,no_aggregation,EU,"[1.0, 1.0, 1.0]",default,0,13,0.239601975545493,0.0857142857142857,0.0285714285714286,0.885714285714286,0.304533872425821
V2,no_aggregation,NNP,"[1.0, 1.0, 1.0]",default,0,65,0.402198828546655,0.217391304347826,0.037037037037037,0.956521739130435,0.333256470567198
V2,no_aggregation,TUI,"[1.0, 1.0, 1.0]",default,0,39,0.426800725713769,0.434782608695652,0.0285714285714286,0.956521739130435,0.320023230221144
V2,no_aggregation,All,"[1.0, 1.0, 1.0]",default,0,233,0.345062250807757,0.208333333333333,0.0212765957446809,0.956521739130435,0.310159193575044
